Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.10916E-4,33.521043848,0.500053691,0.044383493,0.230769231,0
7.24103E-4,33.809168598,0.506441601,0.043884802,0.230769231,0
7.30273E-4,34.027512471,0.509402158,0.043510784,0.230769231,0
7.39052E-4,34.321813062,0.513584404,0.043012093,0.230769231,0
7.46392E-4,34.545590929,0.517053236,0.042638075,0.230769231,0
7.50169E-4,34.770514449,0.518828872,0.042264057,0.230769231,0
7.59619E-4,35.072616055,0.523242465,0.041765366,0.269230769,0
7.6445E-4,35.301587002,0.525483239,0.041391348,0.269230769,0
7.66817E-4,35.531466856,0.526577318,0.04101733,0.269230769,0
7.69848E-4,35.762059519,0.527974457,0.040643311,0.269230769,0
7.79907E-4,36.072657926,0.532582231,0.04014462,0.307692308,0
7.82642E-4,36.307340375,0.53382704,0.039770602,0.307692308,0
7.86045E-4,36.542830674,0.5353714,0.039396584,0.307692308,0
7.9636E-4,36.780276176,0.540021631,0.039022566,0.307692308,0
8.06215E-4,37.021292902,0.544420961,0.038648548,0.307692308,0
8.18205E-4,37.265488055,0.549716846,0.038274529,0.307692308,0
8.25528E-4,37.511905323,0.552920566,0.037900511,0.307692308,0
8.32714E-4,37.760851986,0.556042508,0.037526493,0.307692308,0
8.35372E-4,38.011167369,0.557191864,0.037152475,0.307692308,0
8.40028E-4,38.262439998,0.559197936,0.036778457,0.307692308,0
8.55423E-4,38.516728938,0.565765887,0.036404438,0.307692308,0
8.61418E-4,38.774839566,0.568297115,0.03603042,0.307692308,0
8.68052E-4,39.034235362,0.571081074,0.035656402,0.307692308,0
8.69465E-4,39.294956116,0.571671274,0.035282384,0.307692308,0
8.74228E-4,39.556975439,0.573656409,0.034908366,0.307692308,0
8.77525E-4,39.819790271,0.575024813,0.034534347,0.307692308,0
8.83251E-4,40.083786802,0.577391105,0.034160329,0.307692308,0
8.83712E-4,40.26052504,0.577581055,0.033910984,0.307692308,0
8.9035E-4,40.52672361,0.580306679,0.033536965,0.307692308,0
9.03485E-4,40.796907857,0.585648153,0.033162947,0.307692308,0
9.07697E-4,41.068631005,0.587346664,0.032788929,0.307692308,0
9.09532E-4,41.250530682,0.58808434,0.032539584,0.307692308,0
9.18605E-4,41.524759112,0.591712685,0.032165565,0.307692308,0
9.25705E-4,41.801835618,0.594529656,0.031791547,0.307692308,0
9.40852E-4,42.082022523,0.600474733,0.031417529,0.307692308,0
9.44105E-4,42.270684249,0.60174027,0.031168184,0.307692308,0
9.71115E-4,42.557108694,0.612093036,0.030794165,0.307692308,0
9.77797E-4,42.752638113,0.614612157,0.03054482,0.307692308,0
9.94854E-4,43.049368219,0.620969648,0.030170802,0.307692308,0
1.00322E-3,43.349570663,0.624047488,0.029796783,0.307692308,0
1.0234E-3,43.553318937,0.631376634,0.029547438,0.307692308,0
1.02741E-3,43.758602738,0.6328151,0.029298093,0.307692308,0
1.03216E-3,44.067780766,0.634512044,0.028924074,0.307692308,0
1.04099E-3,44.275761162,0.637645752,0.028674729,0.307692308,0
1.05376E-3,44.590218569,0.642129373,0.028300711,0.307692308,0
1.07149E-3,44.803530704,0.648264276,0.028051365,0.307692308,0
1.07795E-3,45.018864476,0.650472297,0.02780202,0.307692308,0
1.0878E-3,45.344271412,0.65381332,0.027428001,0.307692308,0
1.09219E-3,45.562695785,0.655290924,0.027178656,0.307692308,0
1.11892E-3,45.785610548,0.664159223,0.026929311,0.307692308,0
1.12571E-3,46.010510353,0.66637626,0.026679965,0.307692308,0
1.13849E-3,46.349925532,0.670510433,0.026305947,0.307692308,0
1.14998E-3,46.579186744,0.674178739,0.026056601,0.307692308,0
1.15821E-3,46.810346654,0.676783458,0.025807256,0.307692308,0
1.16891E-3,47.043761993,0.680140415,0.02555791,0.346153846,0
1.18087E-3,47.278745581,0.68384852,0.025308565,0.346153846,0
1.19264E-3,47.51708118,0.687456433,0.02505922,0.346153846,0
1.21273E-3,47.759222988,0.693521212,0.024809874,0.346153846,0
1.23223E-3,48.004980042,0.699293297,0.024560529,0.346153846,0
1.23252E-3,48.251478747,0.699376689,0.024311183,0.346153846,0
1.2474E-3,48.624392081,0.703708018,0.023937165,0.346153846,0
1.26843E-3,48.751234945,0.709722208,0.023812492,0.346153846,0
1.27817E-3,49.005900173,0.712467833,0.023563147,0.346153846,0
1.28746E-3,49.262914016,0.71505993,0.023313801,0.346153846,0
1.29344E-3,49.521189902,0.71671673,0.023064456,0.346153846,0
1.30358E-3,49.781412105,0.719503438,0.02281511,0.346153846,0
1.32511E-3,50.044838344,0.725331521,0.022565765,0.346153846,0
1.33621E-3,50.311299737,0.728287315,0.022316419,0.346153846,0
1.33687E-3,50.57863488,0.728462945,0.022067074,0.384615385,0
1.33877E-3,50.846221745,0.728967206,0.021817728,0.384615385,0
1.35158E-3,51.115384364,0.732331127,0.021568383,0.384615385,0
1.35798E-3,51.251182113,0.733995243,0.02144371,0.384615385,0
