x,y,species cloglog values
491.0,491.0,0.20079431
492.0,492.0,0.029409567
493.0,493.0,0.0015598757
494.0,494.0,6.3038463E-13
495.0,495.0,0.16663173
496.0,496.0,1.110223E-16
497.0,497.0,3.6301157E-5
498.0,498.0,0.7323311
499.0,499.0,0.0373938
500.0,500.0,0.010713606
501.0,501.0,0.0057290196
502.0,502.0,0.02587277
503.0,503.0,0.0089458665
504.0,504.0,0.15185913
505.0,505.0,0.0014969412
506.0,506.0,6.983925E-6
507.0,507.0,3.2061868E-4
508.0,508.0,0.15706752
509.0,509.0,0.16303137
510.0,510.0,0.0028752377
511.0,511.0,2.2249815E-6
512.0,512.0,1.00906426E-7
513.0,513.0,0.018631827
514.0,514.0,1.8551827E-13
515.0,515.0,0.0032515933
516.0,516.0,0.048546575
517.0,517.0,0.12930366
518.0,518.0,1.5210055E-14
519.0,519.0,0.01109497
520.0,520.0,0.0035925363
521.0,521.0,2.1416202E-13
522.0,522.0,2.0281013E-4
523.0,523.0,0.5862414
524.0,524.0,0.007908355
525.0,525.0,3.6269341E-6
526.0,526.0,3.739342E-12
527.0,527.0,0.017663656
528.0,528.0,0.017959567
529.0,529.0,9.692247E-14
530.0,530.0,0.006043358
531.0,531.0,0.14121126
532.0,532.0,7.819395E-4
533.0,533.0,0.18759573
534.0,534.0,7.771561E-16
535.0,535.0,0.5273692
536.0,536.0,4.4262816E-11
537.0,537.0,0.0035596339
538.0,538.0,2.3003044E-11
539.0,539.0,0.0029406515
540.0,540.0,1.2123635E-13
541.0,541.0,1.3655743E-14
542.0,542.0,0.3525983
543.0,543.0,6.734304E-10
544.0,544.0,0.16593222
545.0,545.0,0.007040794
546.0,546.0,2.6645353E-15
547.0,547.0,0.00274375
548.0,548.0,1.5566961E-8
549.0,549.0,0.72102374
550.0,550.0,4.450849E-6
551.0,551.0,0.46372727
552.0,552.0,0.0016183264
553.0,553.0,0.13132258
554.0,554.0,7.993606E-15
555.0,555.0,4.29772E-7
556.0,556.0,4.8512578E-4
557.0,557.0,0.025914965
558.0,558.0,6.9248663E-6
559.0,559.0,0.031400792
560.0,560.0,0.044092227
561.0,561.0,0.001068955
562.0,562.0,0.026945716
563.0,563.0,5.395684E-14
564.0,564.0,3.9615097E-5
565.0,565.0,6.991463E-11
566.0,566.0,7.979173E-13
567.0,567.0,2.5979219E-14
568.0,568.0,0.9985649
569.0,569.0,0.98364186
570.0,570.0,0.0057784985
571.0,571.0,1.195847E-4
572.0,572.0,0.02137842
573.0,573.0,0.08736532
574.0,574.0,3.330669E-16
575.0,575.0,0.012129476
576.0,576.0,2.1438407E-13
577.0,577.0,0.06548846
578.0,578.0,0.4209067
579.0,579.0,0.19471437
580.0,580.0,4.954723E-4
581.0,581.0,0.07656765
582.0,582.0,0.070764594
583.0,583.0,4.4889897E-4
584.0,584.0,0.21265264
585.0,585.0,0.03090222
586.0,586.0,8.1975486E-7
587.0,587.0,0.16845383
588.0,588.0,5.154944E-4
589.0,589.0,3.039707E-4
590.0,590.0,0.1114016
591.0,591.0,0.05592862
