"species","longitude","latitude","year","month","basisOfRecord","coordinateUncertaintyInMeters","country","locality","occurrenceID"
"Capra sibirica",76.998355,43.070568,2023,5,"HUMAN_OBSERVATION",31,"Kazakhstan",NA,"https://www.inaturalist.org/observations/224205459"
"Capra sibirica",78.027037,32.270364,2023,5,"HUMAN_OBSERVATION",8031,"India",NA,"https://www.inaturalist.org/observations/174987768"
"Capra sibirica",78.006747,32.331764,2023,6,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/165739692"
"Capra sibirica",74.488358,42.559176,2023,6,"HUMAN_OBSERVATION",31,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/180425554"
"Capra sibirica",77.182549,34.277767,2023,7,"HUMAN_OBSERVATION",31,"India",NA,"https://www.inaturalist.org/observations/179381071"
"Capra sibirica",77.140288,43.151223,2023,8,"HUMAN_OBSERVATION",357,"Kazakhstan",NA,"https://www.inaturalist.org/observations/181567727"
"Capra sibirica",76.962662,43.059689,2023,8,"HUMAN_OBSERVATION",488,"Kazakhstan",NA,"https://www.inaturalist.org/observations/182603809"
"Capra sibirica",104.081414,43.493176,2023,8,"HUMAN_OBSERVATION",1286,"Mongolia",NA,"https://www.inaturalist.org/observations/255153658"
"Capra sibirica",77.09,34.337222,2022,4,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/115893653"
"Capra sibirica",79.009643,43.527878,2022,5,"HUMAN_OBSERVATION",61,"Kazakhstan",NA,"https://www.inaturalist.org/observations/120518949"
"Capra sibirica",76.937665,43.047777,2022,5,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/119550829"
"Capra sibirica",78.992447,42.418636,2022,5,"HUMAN_OBSERVATION",3,"Kyrgyzstan","Ysyk-Köl","https://observation.org/observation/245750404"
"Capra sibirica",76.937767,43.047626,2022,5,"HUMAN_OBSERVATION",9,"Kazakhstan","Karasayskiy","https://observation.org/observation/243668457"
"Capra sibirica",79.026863,43.526447,2022,5,"HUMAN_OBSERVATION",10,"Kazakhstan","Enbekshikazakhskiy","https://observation.org/observation/243385620"
"Capra sibirica",79.011721,43.527736,2022,5,"HUMAN_OBSERVATION",10,"Kazakhstan","Enbekshikazakhskiy","https://observation.org/observation/246073705"
"Capra sibirica",76.908519,43.063165,2022,6,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/213950577"
"Capra sibirica",78.136578,32.061398,2022,6,"HUMAN_OBSERVATION",5570,"India",NA,"https://www.inaturalist.org/observations/315215334"
"Capra sibirica",104.017464,43.511799,2022,8,"HUMAN_OBSERVATION",7,"Mongolia","Ömnögovi","https://observation.org/observation/256205816"
"Capra sibirica",104.018692,43.515598,2022,8,"HUMAN_OBSERVATION",8,"Mongolia","Ömnögovi","https://observation.org/observation/256206188"
"Capra sibirica",104.02639,43.520275,2022,8,"HUMAN_OBSERVATION",3,"Mongolia","Yolin Am - Zuun Saikhanii Nuruu","https://observation.org/observation/254422517"
"Capra sibirica",103.772508,43.625562,2022,8,"HUMAN_OBSERVATION",122,"Mongolia",NA,"https://www.inaturalist.org/observations/151364428"
"Capra sibirica",103.771735,43.625811,2022,8,"HUMAN_OBSERVATION",122,"Mongolia",NA,"https://www.inaturalist.org/observations/151364433"
"Capra sibirica",77.075359,34.220838,2022,9,"HUMAN_OBSERVATION",109,"India",NA,"https://www.inaturalist.org/observations/136415016"
"Capra sibirica",68.223191,39.200255,2022,9,"HUMAN_OBSERVATION",543,"Tajikistan",NA,"https://www.inaturalist.org/observations/149730203"
"Capra sibirica",75.552404,33.829985,2022,9,"HUMAN_OBSERVATION",977,"India",NA,"https://www.inaturalist.org/observations/167171059"
"Capra sibirica",76.948752,43.094289,2022,12,"HUMAN_OBSERVATION",4049,"Kazakhstan",NA,"https://www.inaturalist.org/observations/154812959"
"Capra sibirica",77.985107,32.346473,2021,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://indiabiodiversity.org/observation/show/18082377"
"Capra sibirica",73.55,37.75,2021,4,"HUMAN_OBSERVATION",1715,"Tajikistan",NA,"https://www.inaturalist.org/observations/75887482"
"Capra sibirica",75.55096,35.32471,2021,9,"HUMAN_OBSERVATION",203,"Pakistan",NA,"https://www.inaturalist.org/observations/99608524"
"Capra sibirica",70.37568,38.078859,2020,2,"HUMAN_OBSERVATION",3533,"Tajikistan",NA,"https://www.inaturalist.org/observations/154054619"
"Capra sibirica",78.293171,34.299618,2020,3,"HUMAN_OBSERVATION",NA,"India",NA,"https://indiabiodiversity.org/observation/show/14831262"
"Capra sibirica",76.82957,34.248493,2019,5,"HUMAN_OBSERVATION",662,"India",NA,"https://www.inaturalist.org/observations/35568760"
"Capra sibirica",104.04,43.5,2019,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/174005206"
"Capra sibirica",104.05,43.49,2019,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/174005204"
"Capra sibirica",76.967507,34.279113,2019,5,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/104208626"
"Capra sibirica",76.967172,34.259018,2019,5,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/104208629"
"Capra sibirica",76.963183,34.271428,2019,5,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/108741692"
"Capra sibirica",76.964435,34.275485,2019,5,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/108741694"
"Capra sibirica",76.963064,34.274715,2019,5,"HUMAN_OBSERVATION",15,"India",NA,"https://www.inaturalist.org/observations/108741695"
"Capra sibirica",77.185181,32.639016,2019,7,"HUMAN_OBSERVATION",NA,"India",NA,"https://indiabiodiversity.org/observation/show/17147963"
"Capra sibirica",72.534775,34.992607,2019,10,"HUMAN_OBSERVATION",250,"Pakistan","UTM50_43S_0250_3850",NA
"Capra sibirica",85.628946,43.876509,2019,11,"HUMAN_OBSERVATION",1563,"China",NA,"https://www.inaturalist.org/observations/36283596"
"Capra sibirica",85.711565,43.834452,2019,12,"HUMAN_OBSERVATION",6996,"China",NA,"https://www.inaturalist.org/observations/36874707"
"Capra sibirica",77.127118,34.3388,2018,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/47322009"
"Capra sibirica",77.981586,32.405769,2018,3,"HUMAN_OBSERVATION",7813,"India",NA,"https://www.inaturalist.org/observations/297842520"
"Capra sibirica",77.988591,32.37502,2018,3,"HUMAN_OBSERVATION",7813,"India",NA,"https://www.inaturalist.org/observations/297842513"
"Capra sibirica",103.700617,43.405426,2018,5,"HUMAN_OBSERVATION",NA,"Mongolia","Ömnögovi","https://observation.org/observation/181244634"
"Capra sibirica",76.944923,43.04442,2018,5,"HUMAN_OBSERVATION",977,"Kazakhstan",NA,"https://www.inaturalist.org/observations/320129364"
"Capra sibirica",104.0802,43.493568,2018,7,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/291316790"
"Capra sibirica",104.036446,43.532732,2018,7,"HUMAN_OBSERVATION",61,"Mongolia",NA,"https://www.inaturalist.org/observations/302389242"
"Capra sibirica",104.085098,43.495472,2018,7,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/302590114"
"Capra sibirica",74.737829,42.359535,2018,8,"MATERIAL_CITATION",3000,"Kyrgyzstan",NA,"Publ.Zagor.Faun.5440"
"Capra sibirica",93.77904,44.970452,2018,9,"HUMAN_OBSERVATION",122,"Mongolia",NA,"https://www.inaturalist.org/observations/195747214"
"Capra sibirica",96.540141,43.307664,2018,9,"HUMAN_OBSERVATION",122,"Mongolia",NA,"https://www.inaturalist.org/observations/197131904"
"Capra sibirica",102.833321,43.55743,2018,9,"HUMAN_OBSERVATION",250,"Mongolia","UTM50_48T_0300_4800",NA
"Capra sibirica",104.017443,43.512692,2018,10,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/17493033"
"Capra sibirica",104.01747,43.512715,2018,10,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/17508178"
"Capra sibirica",104.017448,43.51269,2018,10,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/17567799"
"Capra sibirica",104.017453,43.512707,2018,10,"HUMAN_OBSERVATION",NA,"Mongolia",NA,"https://www.inaturalist.org/observations/17567800"
"Capra sibirica",77.106171,34.313042,2017,2,"HUMAN_OBSERVATION",1000,"India","Ladakh","https://observation.org/observation/294501148"
"Capra sibirica",104.074608,43.488138,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Ömnögovi","https://observation.org/observation/141497250"
"Capra sibirica",104.051937,43.496317,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Ömnögovi","https://observation.org/observation/141585955"
"Capra sibirica",100.866535,44.704613,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Bayanhongor","https://observation.org/observation/141823653"
"Capra sibirica",104.02635,43.502422,2017,5,"HUMAN_OBSERVATION",25,"Mongolia","Ömnögovi","https://observation.org/observation/141585952"
"Capra sibirica",104.099496,43.481803,2017,5,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/141517112"
"Capra sibirica",74.49624,42.557232,2017,5,"HUMAN_OBSERVATION",436,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/196437970"
"Capra sibirica",104.072354,43.488714,2017,6,"HUMAN_OBSERVATION",61,"Mongolia",NA,"https://www.inaturalist.org/observations/38272785"
"Capra sibirica",86.878558,43.118362,2017,8,"HUMAN_OBSERVATION",488,"China",NA,"https://www.inaturalist.org/observations/196286379"
"Capra sibirica",74.859532,42.595154,2017,8,"HUMAN_OBSERVATION",1652,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/154054621"
"Capra sibirica",77.906817,32.438847,2017,10,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/127636736"
"Capra sibirica",77.90687,32.43889,2017,10,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/127636737"
"Capra sibirica",77.138564,34.333647,2016,2,"HUMAN_OBSERVATION",NA,"India",NA,"https://www.inaturalist.org/observations/8383353"
"Capra sibirica",77.882444,31.999504,2016,5,"HUMAN_OBSERVATION",196,"India",NA,"https://www.inaturalist.org/observations/31840248"
"Capra sibirica",74.511881,42.550554,2016,5,"HUMAN_OBSERVATION",25,"Kyrgyzstan","Ala-Archa NP","https://observation.org/observation/118455967"
"Capra sibirica",104.0251,43.5192,2016,5,"HUMAN_OBSERVATION",10,"Mongolia","Ömnögovi","https://observation.org/observation/119631967"
"Capra sibirica",76.997926,43.056937,2016,5,"HUMAN_OBSERVATION",766,"Kazakhstan",NA,"https://www.inaturalist.org/observations/245741358"
"Capra sibirica",74.487475,42.488524,2016,7,"HUMAN_OBSERVATION",61,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/280774615"
"Capra sibirica",74.434504,42.546239,2016,8,"HUMAN_OBSERVATION",61,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/34064737"
"Capra sibirica",103.46855,43.660918,2016,9,"HUMAN_OBSERVATION",1000,"Mongolia","Ömnögovi","https://observation.org/observation/205555451"
"Capra sibirica",70.464935,42.383401,2015,5,"HUMAN_OBSERVATION",NA,"Kazakhstan",NA,"https://www.inaturalist.org/observations/18861200"
"Capra sibirica",77.158481,34.311457,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/113511673"
"Capra sibirica",77.159431,34.31126,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/113511663"
"Capra sibirica",77.175408,34.328704,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/113511653"
"Capra sibirica",77.165389,34.316437,2015,5,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/114756973"
"Capra sibirica",104.0804,43.4917,2015,5,"HUMAN_OBSERVATION",30,"Mongolia","Ömnögovi","https://observation.org/observation/103000455"
"Capra sibirica",78.501251,42.319428,2015,6,"HUMAN_OBSERVATION",567,"Kyrgyzstan",NA,"https://www.inaturalist.org/observations/141195894"
"Capra sibirica",74.675,42.453,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan",NA,"http://www.inaturalist.org/observations/4651594"
"Capra sibirica",78.492,42.32,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan",NA,"http://www.inaturalist.org/observations/4651140"
"Capra sibirica",74.659084,42.49007,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan","Bishkek","https://observation.org/observation/105108004"
"Capra sibirica",74.674534,42.452844,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan","Bishkek","https://observation.org/observation/105107925"
"Capra sibirica",78.492052,42.320476,2015,7,"HUMAN_OBSERVATION",100,"Kyrgyzstan","Ysyk-Köl","https://observation.org/observation/105103632"
"Capra sibirica",77.351752,34.21566,2015,10,"HUMAN_OBSERVATION",488,"India",NA,"https://www.inaturalist.org/observations/257131602"
"Capra sibirica",75.283935,36.829385,2014,4,"HUMAN_OBSERVATION",122,"Pakistan",NA,"https://www.inaturalist.org/observations/50647911"
"Capra sibirica",75.391926,36.83838,2014,4,"HUMAN_OBSERVATION",122,"Pakistan",NA,"https://www.inaturalist.org/observations/50647912"
"Capra sibirica",77.592546,33.788419,2014,6,"HUMAN_OBSERVATION",100,"India","Hemis NP","https://observation.org/observation/182332444"
"Capra sibirica",101.662961,44.872792,2014,8,"HUMAN_OBSERVATION",100,"Mongolia","Övörhangay","https://observation.org/observation/95398314"
"Capra sibirica",77.1306,34.3324,2014,10,"HUMAN_OBSERVATION",10,"India","Jammu and Kashmir","https://observation.org/observation/89346066"
"Capra sibirica",77.1363,34.3313,2014,10,"HUMAN_OBSERVATION",5,"India","Jammu and Kashmir","https://observation.org/observation/93186414"
"Capra sibirica",77.130635,34.332674,2014,10,"HUMAN_OBSERVATION",25,"India","Jammu and Kashmir","https://observation.org/observation/89283770"
"Capra sibirica",78.010263,32.332662,2013,1,"HUMAN_OBSERVATION",237,"India",NA,"https://www.inaturalist.org/observations/29158942"
"Capra sibirica",76.568325,34.585019,2013,2,"HUMAN_OBSERVATION",3906,"India",NA,"https://www.inaturalist.org/observations/41397765"
